CD_MATERIAL,CD_NCM
1,68118100
2,68118100
3,72171090
4,72123000
5,72104910
6,72104910
7,72104910
8,72104910
9,73084000
10,72142000
11,72142000
12,72142000
13,72131000
14,72131000
15,39191010
16,68053090
17,48114110
18,48114110
19,48114110
20,48114110
21,35069190
22,40169990
23,39191020
24,39191020
25,39191020
26,39269090
27,39269090
28,39269090
29,39269090
30,39269090
31,39269090
32,40139000
33,40139000
34,82119390
35,39191010
36,96091000
37,40119090
38,40119090
39,90178090
40,90178090
41,90178090
42,94036000
43,94036000
44,94036000
45,94036000
46,94036000
47,94036000
48,94036000
49,94036000
50,94036000
51,94036000
52,94036000
53,94036000
54,94036000
55,94036000
56,94036000
57,94036000
58,94036000
59,94036000
60,94036000
61,94036000
62,94036000
63,94036000
64,94036000
65,94036000
66,94036000
67,94036000
68,73181300
69,84811000
70,84811000
71,84811000
72,84811000
73,76169900
74,76169900
75,76169900
76,76169900
77,76169900
78,76101000
79,76101000
80,73249000
81,73249000
82,73241000
83,73241000
84,73241000
85,73241000
86,73241000
87,73241000
88,73241000
89,73241000
90,73241000
91,84818011
92,35061090
93,35061090
94,35061090
95,35061010
96,44072990
97,44079990
98,44072990
99,44079990
100,44079990
101,44072990
102,84811000
103,84811000
104,84811000
105,84811000
106,44032200
107,44032200
108,39259090
109,39259090
110,39252000
111,39252000
112,39252000
113,39252000
114,39252000
115,39252000
116,39252000
117,39252000
118,39252000
119,39252000
120,39252000
121,39252000
122,39252000
123,39252000
124,39252000
125,39252000
126,39252000
127,39252000
128,39252000
129,39252000
130,39252000
131,39259090
132,69072200
133,69072200
134,39222000
135,94032000
136,56075090
137,56075090
138,56075090
139,56075090
140,56075090
141,56075090
142,56075090
143,56075090
144,56075090
145,56075090
146,56075090
147,56075090
148,96034090
149,96034010
150,39269090
151,39269090
152,39269090
153,39269090
154,39269090
155,82055900
156,82055900
157,82055900
158,39211390
159,73269090
160,40151900
161,40151900
162,32082011
163,40151900
164,40151900
165,32082011
166,82119390
167,32082011
168,32082011
169,32082011
170,32082011
171,32082011
172,32082011
173,32082011
174,32082011
175,32082011
176,32082011
177,32082011
178,32082011
180,32082011
181,38249989
182,38249989
183,85392190
184,85392190
185,85392190
186,85395200
187,85395200
188,63079010
189,85395200
190,85393111
191,85395200
192,85393100
193,73231000
194,85393111
195,85393111
196,85392100
197,85393100
198,85393111
199,85392200
200,96034090
201,85395200
202,85395200
203,85395200
204,94051190
205,94051190
206,94051190
207,94051190
208,96034090
209,96034090
210,85437099
211,96034090
212,96034090
213,85437099
214,96034090
215,85437099
216,96034090
217,96034090
218,85395200
219,73269090
220,96034010
221,96034010
222,96034010
223,85437099
224,96034010
225,96034010
226,85395200
227,96034010
228,85437099
229,96034010
230,85395200
231,96034010
232,39172300
233,96034010
234,96034010
