antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedents_length,consequents_length
frozenset({1236}),frozenset({3694}),0.040484572375232966,0.06388486229032926,0.005384137502588528,0.1329923273657289,2.0817502393812153,0.0027977861715139016,1.0797080201902103,1,1
frozenset({3694}),frozenset({1236}),0.06388486229032926,0.040484572375232966,0.005384137502588528,0.08427876823338736,2.0817502393812153,0.0027977861715139016,1.047824812114126,1,1
frozenset({3944}),frozenset({1236}),0.02692068751294264,0.040484572375232966,0.018533857941602817,0.6884615384615385,17.005528231359435,0.01744398541959406,3.0799260639807335,1,1
frozenset({1236}),frozenset({3944}),0.040484572375232966,0.02692068751294264,0.018533857941602817,0.45780051150895146,17.005528231359435,0.01744398541959406,1.7946887319926388,1,1
frozenset({4195}),frozenset({3694}),0.02070822116380203,0.06388486229032926,0.005280596396769518,0.255,3.9915559157212317,0.003957654539442343,1.2565303861874775,1,1
frozenset({3694}),frozenset({4195}),0.06388486229032926,0.02070822116380203,0.005280596396769518,0.08265802269043761,3.991555915721232,0.003957654539442343,1.0675318507808025,1,1
frozenset({1955}),frozenset({1957}),0.012942638227376268,0.013356802650652309,0.0056947608200455585,0.44000000000000006,32.94201550387597,0.005521888555463705,1.7618628524095497,1,1
frozenset({1957}),frozenset({1955}),0.013356802650652309,0.012942638227376268,0.0056947608200455585,0.42635658914728686,32.94201550387597,0.005521888555463705,1.720681076603628,1,1
frozenset({1957}),frozenset({1959}),0.013356802650652309,0.012321391592462207,0.006419548560778629,0.48062015503875966,39.006970229952444,0.006254974164896705,1.901649857978692,1,1
frozenset({1959}),frozenset({1957}),0.012321391592462207,0.013356802650652309,0.006419548560778629,0.5210084033613446,39.00697022995245,0.006254974164896705,2.0598340435889892,1,1
frozenset({1955}),frozenset({1959}),0.012942638227376268,0.012321391592462207,0.006005384137502588,0.46399999999999997,37.65808403361344,0.005845912823663514,1.8426839709095852,1,1
frozenset({1959}),frozenset({1955}),0.012321391592462207,0.012942638227376268,0.006005384137502588,0.48739495798319327,37.65808403361344,0.005845912823663514,1.9255709188679055,1,1
